State,Education_Status,Gender,Age_group,target
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Graduate,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Graduate,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Graduate,Male,0-100+,no
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,no
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Graduate,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,no
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Diploma,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,No Education,Male,0-100+,no
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Graduate,Male,0-100+,no
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Diploma,Female,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Female,0-100+,yes
Andhra Pradesh,Primary,Female,0-100+,yes
Andhra Pradesh,No Education,Female,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Andhra Pradesh,Graduate,Female,0-100+,yes
Andhra Pradesh,Middle,Female,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Female,0-100+,yes
Andhra Pradesh,Middle,Male,0-100+,yes
Andhra Pradesh,Graduate,Male,0-100+,yes
Andhra Pradesh,Matriculate/Secondary,Male,0-100+,yes
Andhra Pradesh,Post Graduate and Above,Male,0-100+,yes
Andhra Pradesh,Primary,Male,0-100+,yes
Andhra Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Andhra Pradesh,No Education,Male,0-100+,yes
Andhra Pradesh,Diploma,Male,0-100+,yes
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,Diploma,Male,0-100+,no
Arunachal Pradesh,No Education,Male,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,yes
Arunachal Pradesh,Graduate,Male,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,No Education,Male,0-100+,yes
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,no
Arunachal Pradesh,Graduate,Male,0-100+,no
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,no
Arunachal Pradesh,Diploma,Male,0-100+,no
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,no
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,Diploma,Male,0-100+,yes
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Graduate,Male,0-100+,yes
Arunachal Pradesh,No Education,Male,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,no
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,Diploma,Male,0-100+,no
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,no
Arunachal Pradesh,Graduate,Male,0-100+,no
Arunachal Pradesh,No Education,Male,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Arunachal Pradesh,No Education,Male,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,no
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Diploma,Male,0-100+,no
Arunachal Pradesh,Graduate,Male,0-100+,yes
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Diploma,Male,0-100+,no
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,No Education,Male,0-100+,yes
Arunachal Pradesh,Graduate,Male,0-100+,no
Arunachal Pradesh,Graduate,Female,0-100+,no
Arunachal Pradesh,Post Graduate and Above,Female,0-100+,no
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
Arunachal Pradesh,No Education,Female,0-100+,yes
Arunachal Pradesh,Diploma,Female,0-100+,no
Arunachal Pradesh,Primary,Female,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Female,0-100+,yes
Arunachal Pradesh,Middle,Female,0-100+,yes
Arunachal Pradesh,Middle,Male,0-100+,yes
Arunachal Pradesh,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
Arunachal Pradesh,Matriculate/Secondary,Male,0-100+,yes
Arunachal Pradesh,Post Graduate and Above,Male,0-100+,no
Arunachal Pradesh,Primary,Male,0-100+,yes
Arunachal Pradesh,Diploma,Male,0-100+,no
Arunachal Pradesh,Graduate,Male,0-100+,yes
Arunachal Pradesh,No Education,Male,0-100+,yes
