State,Social_Status,Gender,Age_group,target
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Female,0-100+,yes
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Seperated,Female,0-100+,yes
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,yes
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Male,0-100+,yes
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Female,0-100+,yes
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Divorcee,Male,0-100+,yes
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Divorcee,Female,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Married,Male,0-100+,yes
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Widowed/Widower,Male,0-100+,no
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Female,0-100+,no
Arunachal Pradesh,Divorcee,Female,0-100+,yes
Arunachal Pradesh,Married,Female,0-100+,yes
Arunachal Pradesh,Seperated,Female,0-100+,no
Arunachal Pradesh,Never Married,Female,0-100+,yes
Arunachal Pradesh,Never Married,Male,0-100+,yes
Arunachal Pradesh,Seperated,Male,0-100+,no
Arunachal Pradesh,Widowed/Widower,Male,0-100+,yes
Arunachal Pradesh,Divorcee,Male,0-100+,no
Arunachal Pradesh,Married,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Never Married,Female,0-100+,yes
Assam,Widowed/Widower,Female,0-100+,yes
Assam,Divorcee,Female,0-100+,yes
Assam,Married,Female,0-100+,yes
Assam,Seperated,Female,0-100+,yes
Assam,Widowed/Widower,Male,0-100+,yes
Assam,Never Married,Male,0-100+,yes
Assam,Seperated,Male,0-100+,yes
Assam,Married,Male,0-100+,yes
Assam,Divorcee,Male,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Seperated,Female,0-100+,no
Bihar,Divorcee,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Married,Male,0-100+,yes
Bihar,Never Married,Male,0-100+,yes
Bihar,Divorcee,Male,0-100+,yes
Bihar,Seperated,Male,0-100+,yes
Bihar,Widowed/Widower,Male,0-100+,yes
Bihar,Seperated,Female,0-100+,yes
Bihar,Never Married,Female,0-100+,yes
Bihar,Married,Female,0-100+,yes
Bihar,Divorcee,Female,0-100+,yes
Bihar,Widowed/Widower,Female,0-100+,yes
